Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
13.4,481,6.1,81.6,27.14
12,449,6.7,81.3,26.34
14.2,183,5.6,82.6,30.63
13.8,411,6.6,78.9,28.55
18.5,339,6,79.3,32.79
15.8,193,4.3,77.1,31.77
11.1,348,6.1,86.7,24.99
5.7,233,10.3,90.8,21.19
9.1,295,8.8,84.3,25.87
6.3,276,8.6,92.9,22.51
17,211,5.6,77.6,33.67
10.8,347,6.8,87.1,25.7
5,180,9.4,88.6,21.62
10.4,231,6.9,86.2,24.92
7.6,421,8.1,92.8,21.79
7.4,439,7.7,86.7,21.19
7.7,303,8.9,89.4,22.31
11.2,328,6.3,85.4,27.52
17.9,278,5.5,76.8,33.79
19.6,252,5.2,77.5,33.82
17.2,168,6.6,79.8,30.62
12.4,466,7.1,84,25.93
18.2,318,5.3,79.2,34.24
8.3,282,9.6,86.7,24.79
17.1,397,5.1,79.2,33.53
13.2,297,5.3,82,29.18
5.8,456,9.5,88.7,20.52
18.1,298,6.2,73,34.45
7.2,158,10.5,89.1,23.15
18.9,476,5.9,75.5,34.35
13.6,239,6.2,80.3,30.7
11.5,421,6.8,80.5,25.28
12.7,486,6.3,85.1,28.3
6.9,298,9.5,87,21.51
17.8,339,4.8,79.6,33.36
9.9,108,6.7,85.7,24.21
5.9,384,8.4,88.6,22.82
11.4,293,7.6,87,25.17
15.2,228,5.8,77.9,29.6
19.7,530,4.7,70.7,37.02
9,267,8.1,85.2,23.54
8.2,353,8,88,24.19
16.5,273,6,78.5,30.75
7.6,107,9.6,84.9,24.02
7.9,283,7.5,84.8,24.17
6.6,82,10.7,87.9,20.3
7.9,245,9,85.5,25.45
17.6,507,5.3,76.4,32.52
6,196,8.2,94.7,19.29
12.5,480,6.5,84.4,28.1
15.6,170,6.8,83,30.35
7,287,10.1,87.8,20.55
